,node_count,m,edges,density,ipce_time,pce_time,runtime_ratio
0,100,,49,0.01,0.002,0.001,0.5
1,100,,247,0.05,0.002,0.001,0.5
2,100,,495,0.1,0.002,0.001,0.5
3,100,,742,0.15,0.002,0.002,1.0
4,100,,990,0.2,0.003,0.003,1.0
5,100,,1237,0.25,0.005,0.005,1.0
6,100,,1485,0.3,0.009000000000000001,0.009999999999999998,1.1111111111111107
7,149,,111,0.01,0.002,0.001,0.5
8,150,,558,0.05,0.002,0.001,0.5
9,150,,1117,0.1,0.003,0.002,0.6666666666666666
10,150,,1676,0.15,0.005,0.005,1.0
11,150,,2235,0.2,0.008,0.009000000000000001,1.125
12,150,,2793,0.25,0.017,0.02,1.1764705882352942
13,150,,3352,0.3,0.039,0.056,1.435897435897436
14,200,,199,0.01,0.002,0.001,0.5
15,200,,995,0.05,0.002,0.002,1.0
16,200,,1990,0.1,0.004,0.004,1.0
17,200,,2985,0.15,0.009000000000000001,0.009999999999999998,1.1111111111111107
18,200,,3980,0.2,0.020999999999999998,0.024,1.142857142857143
19,200,,4975,0.25,0.056,0.065,1.1607142857142858
20,200,,5970,0.3,0.139,0.184,1.3237410071942444
21,250,,311,0.01,0.002,0.001,0.5
22,250,,1556,0.05,0.003,0.002,0.6666666666666666
23,250,,3112,0.1,0.007,0.007,1.0
24,250,,4668,0.15,0.016,0.019,1.1875
25,250,,6225,0.2,0.045,0.055,1.2222222222222223
26,250,,7781,0.25,0.132,0.17,1.2878787878787878
27,250,,9337,0.3,0.404,0.573,1.418316831683168
28,300,,448,0.01,0.002,0.001,0.5
29,300,,2242,0.05,0.004,0.003,0.75
30,300,,4485,0.1,0.011,0.011,1.0
31,300,,6727,0.15,0.031,0.037,1.1935483870967742
32,300,,8970,0.2,0.094,0.12,1.276595744680851
33,300,,11212,0.25,0.34500000000000003,0.386,1.1188405797101448
34,300,,13455,0.3,0.991,1.384,1.3965691220988898
35,350,,610,0.01,0.003,0.002,0.6666666666666666
36,350,,3053,0.05,0.005,0.004,0.8
37,350,,6107,0.1,0.016,0.017,1.0625
38,350,,9161,0.15,0.055,0.065,1.1818181818181819
39,350,,12215,0.2,0.179,0.228,1.2737430167597765
40,350,,15268,0.25,0.597,0.771,1.291457286432161
41,350,,18322,0.3,2.1950000000000003,2.767,1.2605922551252846
42,400,,798,0.01,0.002,0.002,1.0
43,400,,3990,0.05,0.006,0.005,0.8333333333333334
44,400,,7980,0.1,0.024,0.026000000000000002,1.0833333333333335
45,400,,11970,0.15,0.088,0.104,1.1818181818181819
46,400,,15960,0.2,0.312,0.398,1.2756410256410258
47,400,,19950,0.25,1.0899999999999999,1.525,1.3990825688073396
48,400,,23940,0.3,4.586,5.797999999999999,1.264282599215002
49,450,,1010,0.01,0.003,0.002,0.6666666666666666
50,450,,5051,0.05,0.008,0.007,0.875
51,450,,10102,0.1,0.035,0.038,1.0857142857142856
52,450,,15153,0.15,0.137,0.164,1.1970802919708028
53,450,,20205,0.2,0.525,0.672,1.28
54,450,,25256,0.25,2.2279999999999998,2.4909999999999997,1.1180430879712746
55,450,,30307,0.3,8.626999999999999,10.741,1.2450446273327924
56,500,,1247,0.01,0.003,0.002,0.6666666666666666
57,500,,6237,0.05,0.009999999999999998,0.009000000000000001,0.9000000000000002
58,500,,12475,0.1,0.049,0.055,1.1224489795918366
59,500,,18712,0.15,0.214,0.255,1.191588785046729
60,500,,24950,0.2,0.858,1.0419999999999998,1.2144522144522143
61,500,,31187,0.25,3.272,4.201,1.283924205378973
