,node_count,m,edges,density,ipce_time,pce_time,runtime_ratio
62,500,,37425,0.3,16.250999999999998,19.673000000000002,1.2105716571287923
63,600,,1797,0.01,0.004,0.002,0.5
64,600,,8985,0.05,0.016,0.015,0.9375
65,600,,17970,0.1,0.096,0.103,1.0729166666666665
66,600,,26955,0.15,0.437,0.514,1.1762013729977117
67,600,,35940,0.2,1.9669999999999999,2.337,1.188103711235384
68,600,,44925,0.25,8.666,10.286000000000001,1.1869374567274407
69,600,,53910,0.3,47.213,59.124,1.2522822104081504
70,700,,2446,0.01,0.004,0.002,0.5
71,700,,12232,0.05,0.024,0.023,0.9583333333333333
72,700,,24465,0.1,0.164,0.178,1.0853658536585364
73,700,,36697,0.15,0.848,0.987,1.1639150943396226
74,700,,48930,0.2,3.9259999999999997,4.623,1.1775343861436578
75,700,,61162,0.25,18.756,23.486,1.2521859671571764
76,700,,73395,0.3,128.611,156.65800000000002,1.2180762143207038
77,800,,3196,0.01,0.005,0.003,0.6
78,800,,15980,0.05,0.035,0.036,1.0285714285714285
79,800,,31960,0.1,0.267,0.299,1.1198501872659175
80,800,,47940,0.15,1.5279999999999998,1.709,1.1184554973821992
81,800,,63920,0.2,7.564,9.441,1.2481491274457959
82,800,,79900,0.25,38.425,45.69,1.1890696161353287
83,800,,95880,0.3,304.11899999999997,350.812,1.153535293750144
84,900,,4045,0.01,0.006,0.004,0.6666666666666666
85,900,,20227,0.05,0.05,0.05,1.0
86,900,,40455,0.1,0.424,0.467,1.1014150943396228
87,900,,60682,0.15,2.5500000000000003,2.827,1.108627450980392
88,900,,80910,0.2,13.347,15.328999999999999,1.1484977897654902
89,900,,101137,0.25,76.06099999999999,91.95200000000001,1.2089244159293202
90,900,,121365,0.3,657.264,767.042,1.1670226879914312
91,1000,,4995,0.01,0.007,0.004,0.5714285714285714
92,1000,,24975,0.05,0.07,0.07,1.0
93,1000,,49950,0.1,0.658,0.7,1.0638297872340425
94,1000,,74925,0.15,4.064,4.526,1.1136811023622046
95,1000,,99900,0.2,21.987000000000002,25.537000000000003,1.161459043980534
96,1000,,124875,0.25,134.64000000000001,156.482,1.162225193107546
97,1000,,149850,0.3,1365.7859999999998,1596.107,1.168636228516034
